Minisector,SAI,HUL,Fastest
0,232.34062553319205,228.78745317325107,SAI
1,281.3192551619048,278.73279904022075,SAI
2,293.8250407772107,294.06785846219077,HUL
3,298.65615485231405,303.1010629688766,HUL
4,265.86201694677794,269.0645189271183,HUL
5,166.68272311122382,163.51382574361293,SAI
6,262.1277989870886,257.28674744088653,SAI
7,280.0480587878788,278.6141305507246,SAI
8,217.30849273163383,216.63361867785076,SAI
9,221.11644993613442,214.67489031904265,SAI
10,181.45964228192645,188.59975699607787,HUL
11,221.48635246369514,212.9515075456731,SAI
12,209.76615636037354,208.25002249314673,SAI
13,214.1813779427515,214.67197293445872,HUL
14,220.65828338546893,214.0232201648571,SAI
15,178.74581897905753,179.71105280109623,HUL
16,245.9463944307055,239.26075337910976,SAI
17,283.5347486146707,281.8071233444861,SAI
18,295.7530918005056,298.5620316131423,HUL
19,287.818425565368,302.6863096888889,HUL
20,131.264281050797,133.8015763135539,HUL
21,161.3581254926863,167.63880480045063,HUL
22,151.93327365506147,140.5341809205083,SAI
23,203.28043378259557,213.5348036215873,HUL
24,144.47885647347167,143.149606538545,SAI
25,180.76666666666668,173.70416426666668,SAI
