Minisector,NOR,SAI,Fastest
0,245.2543014878619,247.03045579130435,SAI
1,280.9810359564384,283.1650904032455,SAI
2,167.1880142485154,172.10626305158405,SAI
3,151.207073550628,153.96977037577054,SAI
4,255.85633645624668,256.84786439903235,SAI
5,267.0041612770724,270.52029810457225,SAI
6,225.32250002251337,223.49621379124798,NOR
7,201.56411788068206,202.46997365231746,SAI
8,155.67929457443637,158.409746997817,SAI
9,207.18905086918588,209.79457359113678,SAI
10,270.44718790877783,273.4009427161482,SAI
11,122.51320190543674,124.26814229814171,SAI
12,206.01671908981882,202.5067891722046,NOR
13,278.63773774025975,270.18307157281265,NOR
14,312.5108609999287,292.20416914189894,NOR
15,329.23249996235296,302.2983332495238,NOR
16,266.5537522226087,231.7553519704435,NOR
17,124.64384985734941,132.60924538936757,SAI
18,129.5204165762816,129.4282168555215,NOR
19,121.5487745156825,118.22437381608358,NOR
20,223.80552882800814,228.13580109920403,SAI
21,254.0863593057331,260.7100314362323,SAI
22,236.48905691170697,231.0529798163811,NOR
23,215.95953479799283,215.12024245486703,NOR
24,135.4004072917157,138.62436512103153,SAI
25,210.359372,,NOR
