Minisector,RIC,GAS,Fastest
0,308.76388402565874,310.35097348822455,GAS
1,320.19249346031745,318.40931356862745,RIC
2,320.4293981037037,324.0630685073223,GAS
3,224.33714862050726,219.29747029724848,RIC
4,226.5424672820513,221.72523927369122,RIC
5,113.43874019229087,112.2375878291609,RIC
6,218.81295764467,212.2767643426565,RIC
7,271.7755952111965,268.6388789264069,RIC
8,228.10117653650806,245.5196469474444,GAS
9,114.56517630581426,112.75327406903287,RIC
10,235.82531256742203,233.3931294081949,RIC
11,250.09433464007085,249.25996396521737,RIC
12,132.48074094636996,135.4472326605786,GAS
13,211.79446455386838,209.80169122834437,RIC
14,268.32253740606063,271.19085524948395,GAS
15,226.39229197037784,236.49945426285714,GAS
16,152.6544868846002,150.16626762005362,RIC
17,239.17336333333333,239.8711797777778,GAS
18,121.36268268954741,129.443922224235,GAS
19,140.8512788367015,143.52875022323852,GAS
20,185.6079798895347,174.6968731,RIC
21,260.2335138782609,254.38819902333012,RIC
22,275.3392483744935,274.994189199093,RIC
23,279.9376895852915,281.0896540371882,GAS
24,286.73086290285715,288.8122968908982,GAS
25,290.0,293.33095192380955,GAS
