Minisector,LEC,HAM,Fastest
0,317.65320198545453,313.1514567107648,LEC
1,323.98892956362437,319.4471454476367,LEC
2,319.8468597095065,312.2917597667909,LEC
3,189.27131140063491,191.38476517025333,HAM
4,128.74994520335719,128.98795271314955,HAM
5,261.2384083774359,262.1715065361004,HAM
6,297.3724850638095,294.80216938919796,LEC
7,307.3798958114286,306.8616796313398,LEC
8,266.54012935454807,271.5352441205628,HAM
9,145.80096762214654,145.3801074624253,LEC
10,212.8479357258835,218.71538198997146,HAM
11,219.08106207726206,217.69430061982405,LEC
12,193.1081411582404,194.001836710969,HAM
13,264.6811850727562,260.3729807289932,LEC
14,300.54194674873855,298.4697308407786,LEC
15,312.4268181006699,306.70621028317464,LEC
16,252.07633061189162,263.2447465252777,HAM
17,207.2245198222054,213.28379942843586,HAM
18,271.77651009015875,274.30778562081053,HAM
19,304.11475231117794,302.21061765234566,LEC
20,312.83246692250464,312.39520204924435,LEC
21,294.03145371428576,296.8620503689459,HAM
22,207.99302058653265,210.9440812608603,HAM
23,263.08706487265306,263.84277070341557,HAM
24,301.2408698224738,296.3341414177048,LEC
25,,307.2166670222222,HAM
