Minisector,RUS,HAD,Fastest
0,306.0064600193016,310.1523725850882,HAD
1,237.20476014679508,222.8023448363285,RUS
2,121.17787532078144,126.55675089440105,HAD
3,236.9225905323262,234.1184942503212,RUS
4,190.95851940225683,182.10627827848037,RUS
5,243.21040590313734,240.4582278352928,RUS
6,227.03002117967156,221.0226280342363,RUS
7,252.88969168957192,256.2861702931582,HAD
8,293.02101467907124,293.72908051395166,HAD
9,201.42554229007223,198.41838355272728,RUS
10,201.14760424974452,205.33491052952988,HAD
11,271.815153559575,276.2156757396825,HAD
12,214.41480983088022,212.7660943110085,RUS
13,248.35676644091174,243.0708235812197,RUS
14,292.11132688454063,292.9080384787103,HAD
15,309.47138617920155,317.1036955040021,HAD
16,309.4740604631579,318.78970753492064,HAD
17,205.5885881105393,202.33567296693317,RUS
18,260.43899456285715,257.7381847226567,RUS
19,295.617620173436,298.79503027103027,HAD
20,311.83325303719096,316.58817055799284,HAD
21,312.8189725848933,321.0821825244445,HAD
22,147.04392862934242,146.5288257413297,RUS
23,232.94071039346937,226.94733170056438,RUS
24,288.0929504833697,291.99525443480405,HAD
25,,306.81333333333333,HAD
