Minisector,LEC,VER,Fastest
0,296.78359090423544,296.0934237600945,LEC
1,305.5,305.97052637473683,VER
2,309.2615351747368,310.44483753616163,VER
3,292.4107121329064,302.78299319727887,VER
4,173.34286279717105,173.4882000860805,VER
5,212.45645479505933,209.57909073156137,LEC
6,241.44138905396827,246.24280780650037,VER
7,270.5085524518095,272.48849376752906,VER
8,258.123404295439,248.99228298008657,LEC
9,158.9592603515958,163.05071846437872,VER
10,224.45231298586683,223.7384272143283,LEC
11,126.49169973855248,129.6939197782616,VER
12,228.65396862666668,231.20088956686868,VER
13,176.9793002425449,175.2952516835949,LEC
14,216.2263045738528,218.73241803483782,VER
15,244.90876841876047,245.84037477692414,VER
16,268.86821124397574,269.03144802204906,VER
17,291.9578870222222,290.46662015072513,LEC
18,152.20325549099493,145.66509959320317,LEC
19,163.09400428440512,171.00397852063787,VER
20,140.1071126111191,141.77430162890187,VER
21,229.0368913673096,228.42231027848572,LEC
22,263.6209359210486,266.4093057422222,VER
23,252.5286937095626,258.58078075409776,VER
24,278.3283217817134,283.65785455808077,VER
25,289.8875008,,LEC
