Minisector,HUL,LEC,Fastest
0,289.1618788510363,287.94632445490197,HUL
1,138.03632657924163,124.54855191436475,HUL
2,137.75434952707246,162.48960471814394,LEC
3,227.8616536220109,216.0029123243114,HUL
4,159.0745536530783,161.75411765210728,LEC
5,238.04122683508774,243.94362768192744,LEC
6,232.58453959183672,212.61564155151515,HUL
7,130.4537281824192,136.48965634636517,LEC
8,225.44071967607098,234.1251552481203,LEC
9,273.1724818222222,276.0074649190044,LEC
10,288.4898357600307,285.07055720296296,HUL
11,157.25799752634921,148.40793505285873,HUL
12,208.1181114900037,218.31081194920634,LEC
13,265.30773732063494,268.38472160000003,LEC
14,280.2376150265387,270.9762323269164,HUL
15,105.28722527234387,102.19460266246588,HUL
16,205.0553177123634,218.78789597460317,LEC
17,266.2086485214286,270.5388881777778,LEC
18,291.2093746,292.72499758603624,LEC
19,302.28674263342407,304.1880553955555,LEC
20,309.15111104,309.95166656000004,LEC
21,301.42166848,280.107679159399,HUL
22,156.30129462643552,149.6152176711111,HUL
23,226.3361094095238,234.120485724025,LEC
24,274.90908756610037,277.4215683764706,LEC
25,,288.94999893333335,LEC
