Minisector,BOT,ALO,Fastest
0,292.05621791322244,287.5588780283541,BOT
1,302.73642365549955,297.4565767529412,BOT
2,284.01602118084605,279.0554927392562,BOT
3,103.26461307424297,105.84980958347514,ALO
4,219.29369595282054,220.17109056468865,ALO
5,277.5072794949348,269.13421691370235,BOT
6,212.04589058478382,199.02298542555008,BOT
7,155.4704834441492,155.42725032121814,BOT
8,202.19105492801478,207.8982198220738,ALO
9,214.26402420215874,209.984582355671,BOT
10,112.0660949303407,116.04968722267597,ALO
11,227.84172305150278,222.53820479244754,BOT
12,116.31394141811255,121.04975984684759,ALO
13,222.6421650918821,219.34825794593053,BOT
14,284.3560185471193,271.1778045931094,BOT
15,207.3343922401229,211.1498510897344,ALO
16,183.90263059591837,188.78257149083942,ALO
17,246.96818422285716,245.44069072046176,BOT
18,190.24305768802563,199.67935263689802,ALO
19,174.10401282425704,173.57110294770004,BOT
20,260.5611274835466,253.43166985923995,BOT
21,289.8506428823189,282.5919116862745,BOT
22,164.5896233854678,175.9212171556545,ALO
23,208.96318036565017,201.79272872234293,BOT
24,275.4107135068783,267.83498213874634,BOT
25,293.19791733333335,282.14,BOT
