Minisector,RUS,LEC,Fastest
0,293.50661801978134,295.04088312844476,LEC
1,305.444129224,307.8793441935802,LEC
2,309.09251789409734,310.0053031653333,LEC
3,190.51937647084213,179.26067366089532,RUS
4,212.5042686456508,208.48930299418373,RUS
5,203.82679243706622,199.87964147138322,RUS
6,266.2515069052181,265.70924595722244,RUS
7,264.48144016350716,234.36392019484092,RUS
8,217.77006330180285,211.344004516841,RUS
9,208.02281721674305,210.36466311416257,LEC
10,140.22865765311738,134.37480616440575,RUS
11,198.2961028929715,196.24526668580404,RUS
12,181.3791344948148,182.71623081265744,LEC
13,255.35697604113162,255.29464775495074,RUS
14,173.3644781081489,172.76470643152382,RUS
15,236.2354066742834,235.28876343922687,RUS
16,282.3960672577942,283.3072111070243,LEC
17,292.68825898336564,290.8656046237337,RUS
18,287.6457564677978,277.2803561489631,RUS
19,265.7300679793491,260.54122074746687,RUS
20,266.20731973675305,263.20119132753626,RUS
21,266.18416542376815,261.90440040128834,RUS
22,229.27134181563483,227.42852896920178,RUS
23,204.79117312152934,207.8195837758192,LEC
24,270.21499968,273.7734404252169,LEC
25,285.63749952,,RUS
