Minisector,RIC,ALO,Fastest
0,277.98586949565214,277.6751625904762,RIC
1,293.11777237602496,293.04067464126985,RIC
2,239.69733307733333,241.11984024126983,ALO
3,119.85583988216939,112.28775339022926,RIC
4,135.3861672714205,136.66256542406697,ALO
5,248.98866608253968,252.25637646183256,ALO
6,257.5112235836876,244.8552084,RIC
7,129.93877080852798,127.13706143405035,RIC
8,247.20398608695652,249.6985294345069,ALO
9,265.891856,264.4613815134199,RIC
10,222.43128845573622,206.93922405517242,RIC
11,145.49212629118784,141.43580487471283,RIC
12,209.9557286071326,212.23692719455784,ALO
13,263.6761620208617,262.08937943720133,RIC
14,124.81225963034295,116.64716621714285,RIC
15,190.28362001051087,195.9010680696223,ALO
16,254.84274670422045,257.99346038168494,ALO
17,285.4889928048344,285.9793156495238,ALO
18,296.1120615298246,299.8457143771428,ALO
19,300.22785094736844,303.279189334802,ALO
20,303.6997917333333,305.02037037037036,ALO
21,189.3967130120062,153.9616083352253,RIC
22,137.3658699114048,162.9022623448204,ALO
23,209.23009339373147,196.43994232643678,RIC
24,235.66344106971428,237.09597227945488,ALO
25,264.35,,RIC
