Minisector,STR,HAM,Fastest
0,298.90601181797973,297.9386930897697,STR
1,185.16196793536182,191.11028546739345,HAM
2,221.69102868235362,221.35117552346784,STR
3,274.9773134855844,276.05022408310185,HAM
4,235.44668950684357,230.233514414499,STR
5,123.89072150871749,125.58317200101838,HAM
6,201.86427935534397,199.47820250464252,STR
7,230.66337464419487,239.28982662067978,HAM
8,218.26081358189364,231.11511804595472,HAM
9,225.0870243401819,213.30664717026738,STR
10,269.6543801471605,271.8478118893571,HAM
11,288.7600336812706,289.9564301238515,HAM
12,300.3475094693018,302.4990933534945,HAM
13,318.38115098062104,316.7811191139785,STR
14,324.44678571428574,320.77212105401736,STR
15,222.687659938411,264.77887987012986,HAM
16,233.17055403514388,227.91782166671254,STR
17,280.5061481080059,280.43821314224937,STR
18,293.05795987491996,300.4686845321404,HAM
19,137.94111992770806,150.419336231976,HAM
20,181.80331496927369,198.00665324265293,HAM
21,168.7222799829043,185.0051857583818,HAM
22,134.09190581856416,122.34510243027653,STR
23,230.13470439856562,228.29420374653625,STR
24,280.93652243242855,292.07598127333586,HAM
25,296.13804299130436,312.6570906503715,HAM
