Minisector,OCO,VER,Fastest
0,267.1841107287267,270.28655258181817,VER
1,286.81421973333335,291.65092545185183,VER
2,292.6666676210526,297.4687502814815,VER
3,124.13723919817181,131.48713629437228,VER
4,191.3188164361059,188.78371726922825,OCO
5,251.3786024607108,254.9093253079365,VER
6,137.70993014041363,145.58678099227836,VER
7,201.1599463108949,198.20661188853614,OCO
8,256.28333280000004,257.7425929940522,VER
9,274.9911194395665,282.15526321403513,VER
10,235.7759120608195,237.4266055089027,VER
11,178.69218984889847,181.42094857235605,VER
12,188.13244700738528,185.2276301751363,OCO
13,151.77693725031367,150.02718815115756,OCO
14,179.64859114217572,175.50487100532428,OCO
15,161.47523158009744,162.64659587142856,VER
16,213.75129964016207,213.91168586697606,VER
17,230.5413787055885,230.46753573333334,OCO
18,232.69063018408656,233.7771630746837,VER
19,239.35985037575756,246.18634107661345,VER
20,142.44366577234928,144.15193235770167,VER
21,132.66349102199425,137.71724240814265,VER
22,167.34954927546434,165.5719491561664,OCO
23,148.6734490695178,147.64646373306607,OCO
24,223.74999795555553,223.65608562096443,OCO
25,253.14999893333334,256.7874976,VER
