Minisector,HAM,MAG,Fastest
0,270.0809546353038,260.8491961888945,HAM
1,131.03203516716022,131.81380994744674,MAG
2,269.0602663238095,264.57752704268813,HAM
3,315.822451155923,304.07299976533335,HAM
4,315.87569453968257,300.73009311796017,HAM
5,327.7045467195022,308.1265622222222,HAM
6,332.8634385312803,312.53742758512215,HAM
7,331.60549246060606,313.395833472,HAM
8,194.86635674666667,212.22988281904762,MAG
9,199.4864913176824,196.24930615112225,HAM
10,184.1312258788367,188.9132427997386,MAG
11,164.32417767169267,161.73011367234778,HAM
12,256.1739233376344,250.4281661766284,HAM
13,282.9785016469542,286.4112755345508,MAG
14,281.4232708645807,283.13724478911564,MAG
15,275.17099728868465,287.72512544,MAG
16,189.47219182026862,187.74975883414115,HAM
17,195.82567469075897,196.1874541091666,MAG
18,243.1956937146861,237.19288234775445,HAM
19,292.4099228092728,285.52369689403145,HAM
20,314.01719165528215,305.91440933333337,HAM
21,321.6503106385093,313.85218972155815,HAM
22,320.96053303944495,312.6296666453334,HAM
23,259.1180169142857,280.2131936085735,MAG
24,115.60659998791603,110.85767868173734,HAM
25,231.7,228.52333333333337,HAM
