Minisector,BOT,KVY,Fastest
0,259.4783976120412,257.7186759351502,BOT
1,213.9617801717655,201.63326444983772,BOT
2,226.27815879412563,223.69237299894368,BOT
3,263.58132107595145,261.24125378245515,BOT
4,276.14176223384123,272.37771747246376,BOT
5,223.35402905143056,216.2987280941702,BOT
6,98.63722102801293,95.24498844891335,BOT
7,188.34329429464552,194.6310546559746,KVY
8,273.1328143192695,273.5796211403985,KVY
9,296.47731375821115,296.06671323432965,BOT
10,304.70970331191387,304.32089159949675,BOT
11,306.07894736842104,297.66911714594136,BOT
12,110.86992876448794,110.38996474973099,BOT
13,218.37305356643844,220.39061076964342,KVY
14,285.9143145421802,281.3867526266312,BOT
15,311.6296766936579,300.4137660501336,BOT
16,230.4203936784322,216.78758992135099,BOT
17,129.48669238229627,125.58629574535375,BOT
18,163.07199280367527,153.32559801429235,BOT
19,255.76645387319303,256.7319045112275,KVY
20,166.3558940571054,149.0715795255859,BOT
21,133.6442402419674,125.52987006868369,BOT
22,206.55164972256895,203.9560709486903,BOT
23,212.02017942694496,195.5855456498402,BOT
24,172.20940134090446,161.16849957415988,BOT
25,231.40833706666666,,BOT
