Minisector,LAW,BOR,Fastest
0,253.91330740500052,257.11207042527775,BOR
1,132.23555669093906,131.71677699716247,LAW
2,265.87220034552115,266.7933055235873,BOR
3,309.1704940309286,307.0174549029893,LAW
4,308.3874570910476,307.3485847246561,LAW
5,316.97304530428147,314.9478787927273,LAW
6,321.19999995555554,320.1392380688254,LAW
7,316.4749066257396,317.4502854834162,BOR
8,202.39098846753248,211.08572383671236,BOR
9,202.98742857959118,197.84130789918646,LAW
10,187.94407273325098,187.29285152526984,LAW
11,169.3447536066503,166.73838616031546,LAW
12,255.33410617523808,249.76573370544182,LAW
13,275.640773905391,275.02561078871196,LAW
14,280.5273847734647,279.05199209723355,LAW
15,266.30874975404043,277.2524420393651,BOR
16,177.15618656359132,175.22787852380344,LAW
17,196.85890548522042,202.20453495306512,BOR
18,242.5292338178522,242.41145046760835,LAW
19,290.6965977894016,289.67880949333335,LAW
20,310.88664120242424,309.26802786355586,LAW
21,316.2388816628916,315.2160900127536,LAW
22,312.73862478061614,313.48096722412697,BOR
23,271.211992160154,286.1386125075385,BOR
24,123.42513337721981,115.12250006324841,LAW
25,,227.0916672,BOR
