Minisector,BOT,PER,Fastest
0,287.22437183673924,286.40515393729436,BOT
1,311.59523784873954,310.9216185682967,BOT
2,312.4605376627451,316.9775934028011,PER
3,131.78668383420757,127.92709732958976,BOT
4,212.01502949600464,202.67962249963372,BOT
5,263.97618097513487,261.22354245488503,BOT
6,146.38990947030427,140.82235425688546,BOT
7,215.69516689066666,204.81763467294564,BOT
8,264.9554285139978,258.5031737904762,BOT
9,282.50621014984546,282.64436036821394,PER
10,230.56141328695654,234.98625012139465,PER
11,190.09975243705304,182.04053491612905,BOT
12,207.03164050477494,192.81188118997989,BOT
13,148.72524297020084,141.4272398724797,BOT
14,189.34941618233793,180.00106997401912,BOT
15,176.0784545403689,164.13176616546124,BOT
16,229.7678822095238,220.49416554666666,BOT
17,249.31199616853198,238.68671816475592,BOT
18,248.91560651131832,236.96653605957582,BOT
19,236.9733496607018,243.90119169855075,PER
20,150.97253696426532,142.76062655058203,BOT
21,135.04886211113143,137.22262538112813,PER
22,183.43536489195404,174.10583232,BOT
23,160.31096458499977,150.9726677814051,BOT
24,236.43003386666666,228.49382591611885,BOT
25,,258.5124992,PER
