Minisector,RUS,OCO,Fastest
0,289.4760024571114,286.27942367830684,RUS
1,171.20979461937327,167.37428874618888,RUS
2,167.9583613180004,172.9460212909319,OCO
3,250.58475254450795,256.6998269929845,OCO
4,285.035459334966,282.05441426813246,RUS
5,253.11478751265597,248.39834896563147,RUS
6,218.8254729735279,226.42246060426305,OCO
7,153.56766297910937,153.73037064104716,OCO
8,227.32098958728386,227.87242872533716,OCO
9,282.63771509925925,277.7653551111011,RUS
10,299.0287370444828,297.24183121964916,RUS
11,306.0350565773983,304.522893667377,RUS
12,308.79361635080215,308.5627975619048,RUS
13,308.75,302.9522932213959,RUS
14,131.45689333297693,133.05288206306878,OCO
15,123.35490209796673,120.79724731951518,RUS
16,105.9644392581693,102.64171496567552,RUS
17,234.21774938531357,235.6740494062573,OCO
18,286.6445611398256,285.16321606566896,RUS
19,306.3457420377727,305.04333379963424,RUS
20,313.27664405684055,315.11244048035917,OCO
21,316.7686662842857,317.37571358844673,OCO
22,135.71367031794142,131.10309299245716,RUS
23,203.27672826934244,197.93042900075014,RUS
24,269.22667033936057,267.6065296277295,RUS
25,,280.3985766032346,OCO
