Minisector,RUS,SAI,Fastest
0,303.54930083321904,298.4514446443427,RUS
1,140.81160078486857,137.3396480878192,RUS
2,215.67041669333335,213.41987154449973,RUS
3,274.8898393946149,274.70484036548845,RUS
4,312.91494047577027,313.7349612612136,SAI
5,319.5001468302792,316.4818749061623,RUS
6,150.73846895131675,154.33493009958127,SAI
7,246.23947447641325,241.8461596442392,RUS
8,120.05506878163062,113.46732239274317,RUS
9,130.8947958883589,146.3768002855241,SAI
10,267.8922547162138,272.3902227068787,SAI
11,299.26378213818185,292.8347851954424,RUS
12,259.14005094352007,263.3036500617143,SAI
13,155.98986832756384,154.10487680447469,RUS
14,267.73671003437454,270.2149197963529,SAI
15,304.41666211601733,306.58846096739035,SAI
16,319.8615603153623,323.7602117004757,SAI
17,330.6509482076564,330.57832356825395,RUS
18,335.8096102508642,336.2293284302483,SAI
19,335.3368985498413,334.7880950857143,RUS
20,239.83431099908287,236.56531343531842,RUS
21,149.05805223321715,148.00091755335356,RUS
22,271.6831873484058,276.2911855930253,SAI
23,308.66782079125977,311.07266704,SAI
24,324.4693523428571,326.1527415664645,SAI
25,324.0,,RUS
