Minisector,RUS,PIA,Fastest
0,303.54930083321904,303.07624460720496,RUS
1,140.81160078486857,139.22729312674522,RUS
2,215.67041669333335,211.3151119808311,RUS
3,274.8898393946149,271.857040080202,RUS
4,312.91494047577027,310.77629328492367,RUS
5,319.5001468302792,316.29571986989896,RUS
6,150.73846895131675,145.96079780854927,RUS
7,246.23947447641325,237.3251408582369,RUS
8,120.05506878163062,111.55298342737122,RUS
9,130.8947958883589,145.59402002290622,PIA
10,267.8922547162138,271.37785314922735,PIA
11,299.26378213818185,296.18570828556193,RUS
12,259.14005094352007,240.24733224652644,RUS
13,155.98986832756384,156.5602474115704,PIA
14,267.73671003437454,275.07640822352596,PIA
15,304.41666211601733,306.4285209627289,PIA
16,319.8615603153623,322.07187227792963,PIA
17,330.6509482076564,330.14257203688913,RUS
18,335.8096102508642,335.66177978666667,RUS
19,335.3368985498413,337.0660802513072,PIA
20,239.83431099908287,224.96192185387957,RUS
21,149.05805223321715,157.6884858878902,PIA
22,271.6831873484058,274.4870350878718,PIA
23,308.66782079125977,312.98532694539335,PIA
24,324.4693523428571,325.1967176170522,PIA
25,324.0,,RUS
