Minisector,HAM,OCO,Fastest
0,298.3446192722404,278.34002788142146,HAM
1,310.54505684734403,289.17610892751884,HAM
2,316.883562759293,294.7823975747368,HAM
3,306.2725145343044,293.1753780622222,HAM
4,162.34248610809524,159.9448364334226,HAM
5,205.00359932759105,200.5717172591078,HAM
6,227.2898267337636,220.015049624315,HAM
7,262.4268816012293,259.55976449046057,HAM
8,237.28770135784677,237.3150163144927,OCO
9,153.53964665837495,152.50769939626628,HAM
10,214.38950949015873,220.2250408412979,OCO
11,126.58462747934007,128.3547380762539,OCO
12,229.02379628657533,228.75830541333335,HAM
13,171.88324922057143,163.43728199307827,HAM
14,225.49593092708523,212.63864071146207,HAM
15,222.3568253004329,223.68348998596983,OCO
16,252.00091179428574,252.80388141714286,OCO
17,275.7522607966568,278.9607914554921,OCO
18,146.53958090682423,138.38929116724762,HAM
19,172.17795796877726,160.66268578795086,HAM
20,139.25185410295765,137.7342051249943,HAM
21,151.52318137836957,149.56599021222678,HAM
22,112.33806427645503,109.16393858314606,HAM
23,217.65810292378413,217.2434469011853,HAM
24,262.90302519949205,260.83653238361154,HAM
25,275.3468744,,HAM
