Minisector,HAD,ALO,Fastest
0,303.2036691014346,301.8591077687646,HAD
1,198.70778515216966,219.57569845040737,ALO
2,147.19650839313366,142.63908545370438,HAD
3,220.83779251313712,223.14867952051353,ALO
4,168.65743184003543,166.72730572682028,HAD
5,177.49527648877515,180.51128046774414,ALO
6,257.62146294528253,252.48195119719298,HAD
7,281.4229391845926,276.19093425274343,HAD
8,289.5377342374695,285.1393018516247,HAD
9,263.31567091450984,262.2359278773333,HAD
10,244.12427122238773,240.08977053919702,HAD
11,246.86866480772915,242.38527460077228,HAD
12,208.9165708984212,214.55334359843332,ALO
13,133.22716276631928,129.97385235618236,HAD
14,138.9099973297044,145.77268333608197,ALO
15,181.85727857820106,174.7099068990914,HAD
16,249.94386547032195,248.34560841467263,HAD
17,234.91602069892065,248.76480767157287,ALO
18,114.69871238414156,113.15265786081386,HAD
19,196.77134170817243,190.00775284723807,HAD
20,202.56332859066345,205.47327377197948,ALO
21,237.76227376931217,231.7462052763059,HAD
22,265.560864579612,262.9636941605926,HAD
23,286.59770696677816,281.43835553506494,HAD
24,297.9974217777778,294.0028377617927,HAD
25,,299.0388885333333,ALO
