Minisector,BOT,LEC,Fastest
0,287.5965277037037,294.6144609882353,LEC
1,297.522678163293,304.46672147004006,LEC
2,302.1236978857143,308.2348958,LEC
3,304.2259799215686,307.2552078666667,LEC
4,188.348459563801,179.18060135516333,BOT
5,222.7931816727273,215.42508047039115,BOT
6,249.5585119743632,245.00059474285712,BOT
7,269.886873118797,269.48390194017657,BOT
8,271.06157347724866,267.60668197248674,BOT
9,173.4313002457071,168.2856085745579,BOT
10,234.37023779740258,237.31116162705453,LEC
11,141.95539720050965,137.92152894814816,BOT
12,225.3175573740812,223.2314760210007,BOT
13,207.1050841777778,195.36216070716065,BOT
14,217.34894549191318,220.65303558920584,LEC
15,252.83145845333334,254.45291712,LEC
16,262.9401630877193,263.417246770821,LEC
17,284.845325032791,288.1201053291005,LEC
18,143.04796425368022,131.54424226094503,BOT
19,162.3709868531142,164.12676501543513,LEC
20,150.50709508325653,148.3439726440336,BOT
21,172.11760743225807,168.7526543133993,BOT
22,124.22515029527554,117.78078170702949,BOT
23,227.00275004081635,226.31646659047618,BOT
24,268.2258776140351,272.3124052531328,LEC
25,281.26666666666665,,BOT
