Minisector,NOR,ALB,Fastest
0,245.2543014878619,245.06040196958924,NOR
1,280.9810359564384,281.22878684807256,ALB
2,167.1880142485154,180.0278505219086,ALB
3,151.207073550628,145.07489474570548,NOR
4,255.85633645624668,253.76784580011292,NOR
5,267.0041612770724,265.38214569123085,NOR
6,225.32250002251337,212.81856006267282,NOR
7,201.56411788068206,193.84522532437876,NOR
8,155.67929457443637,152.53492878312247,NOR
9,207.18905086918588,215.2653349124515,ALB
10,270.44718790877783,271.34508623282085,ALB
11,122.51320190543674,115.63319570961946,NOR
12,206.01671908981882,209.1301109996928,ALB
13,278.63773774025975,271.5926754276429,NOR
14,312.5108609999287,294.1232499229091,NOR
15,329.23249996235296,301.8042222222222,NOR
16,266.5537522226087,214.80370248758658,NOR
17,124.64384985734941,131.39583899997848,ALB
18,129.5204165762816,129.9650794835979,ALB
19,121.5487745156825,121.06967689430783,NOR
20,223.80552882800814,223.2614181818182,NOR
21,254.0863593057331,250.82228275915858,NOR
22,236.48905691170697,219.98167917267918,NOR
23,215.95953479799283,201.63827250035567,NOR
24,135.4004072917157,135.4818618729631,ALB
25,210.359372,,NOR
