Minisector,PIA,PER,Fastest
0,306.82790415157893,310.0425797164815,PER
1,202.38621319717421,212.83140991544033,PER
2,146.16713702538397,141.1192097777926,PIA
3,223.8063662509317,222.57872069003506,PIA
4,168.73171074760288,165.83124815609466,PIA
5,186.5317798873397,175.20974540142046,PIA
6,254.04752800504426,254.81074475238097,PER
7,278.08694067221154,282.29617819364825,PER
8,287.6247796001411,291.6441913788235,PER
9,255.32314972825645,263.37596555831936,PER
10,234.69154256699417,242.88786806079239,PER
11,236.31738694209525,233.8874089771731,PIA
12,197.72000278479788,194.00998303344088,PIA
13,131.4716307074533,123.63488255408859,PIA
14,137.94550059837957,127.3218193536847,PIA
15,172.06649278538353,176.9758684162381,PER
16,246.1549465748687,251.6170738646155,PER
17,243.25556197417177,227.21599059907737,PIA
18,115.91444538541265,114.26285479025935,PIA
19,197.16452986809819,204.07889740099728,PER
20,206.49178074048308,200.53232679725792,PIA
21,234.6361764144773,240.87381067425676,PER
22,264.3474545183174,268.7284369988898,PER
23,286.40722024515406,288.46758979857145,PER
24,300.24259632924293,302.563606659944,PER
