Minisector,LEC,ALB,Fastest
0,237.54768283061009,232.09494104606006,LEC
1,287.59235618622307,279.2484363999153,LEC
2,303.1949699899354,293.1632911339625,LEC
3,309.9636157013151,300.0818500654906,LEC
4,268.6471653681669,266.3316498147703,LEC
5,171.31254093332274,169.7046605353881,LEC
6,267.0585447383432,260.24787404253937,LEC
7,285.77874890927865,277.7701958238806,LEC
8,220.44815776688225,222.91164410694327,ALB
9,226.05128339924903,217.93541662632464,LEC
10,184.44266421203673,183.05756092813658,LEC
11,227.36564670164577,227.60773391722051,ALB
12,210.32387910747016,210.85877541884938,ALB
13,216.45474494754157,220.09085218032723,ALB
14,227.37618839961502,227.03976504308662,LEC
15,184.81074349788852,182.37397576708432,LEC
16,252.7855169402003,248.68859610140947,LEC
17,292.13089893356874,282.952104156692,LEC
18,305.89702389841267,295.09202515074276,LEC
19,301.6601901286389,283.55739972456826,LEC
20,133.94418149284485,133.24980454057322,LEC
21,165.7557472485355,160.43947049933007,LEC
22,149.2613210154159,161.16725760421477,ALB
23,208.71683581282332,204.74036782898085,LEC
24,149.61363455311027,153.35332650141262,ALB
25,191.31799690229371,,LEC
