Minisector,PER,RUS,Fastest
0,293.5941900373804,280.62195599050494,PER
1,320.4683112022611,295.5902950109519,PER
2,311.8718549237605,289.2019283324445,PER
3,182.59613628459138,177.43044641196624,PER
4,216.25841728897083,223.9477781026274,RUS
5,204.78147891436078,203.73380179676954,PER
6,181.3714856589932,179.5527762356524,PER
7,206.84952305848307,206.50558703757616,PER
8,255.35287096801133,257.29127405686154,RUS
9,264.41744397176853,265.78734541519276,RUS
10,161.80654702847923,169.3902994454017,RUS
11,232.44794425805813,237.56792755347763,RUS
12,116.61933462263552,120.43356211397821,RUS
13,224.3203811855501,213.17496653248676,PER
14,277.2604607808577,273.10947780888114,PER
15,292.15185830272316,292.19624974545457,RUS
16,207.7528984319029,221.83287342380078,RUS
17,189.6102172186611,179.19916964159435,PER
18,267.45895531249334,264.2069348148918,PER
19,293.3716095240513,288.3467513977324,PER
20,306.09326024965975,300.3520726751559,PER
21,307.9430010011806,300.33916814568545,PER
22,261.7281491771428,283.7359476652928,RUS
23,116.85171662114486,117.703736621626,RUS
24,240.04650371914613,233.28070979057026,PER
25,274.65376150833544,265.6871418514286,PER
