Minisector,HAM,STR,Fastest
0,305.1404513333333,304.95978258550724,HAM
1,289.7810588756849,276.819532359599,HAM
2,181.50345331317496,162.17036121769033,HAM
3,205.21052862641505,199.18861956478278,HAM
4,228.63890562723893,231.64735279686275,STR
5,268.7897953599224,268.6311442821554,HAM
6,238.0113113904762,222.05443082740945,HAM
7,213.04583195235213,202.16607989120592,HAM
8,169.0070472800993,160.4999640801515,HAM
9,178.9063566596491,172.57465209616595,HAM
10,184.2151117259941,173.81695627001878,HAM
11,209.7007844327246,205.2705615065329,HAM
12,241.50171096155046,235.4795310683197,HAM
13,172.35000761442308,166.16058123936804,HAM
14,249.76155035202822,246.81622297896536,HAM
15,277.17972740491524,277.13342857142857,HAM
16,264.26916740266665,266.8634999893333,STR
17,250.15043418773433,256.6639948535194,STR
18,244.13120938703906,245.56592262857143,STR
19,244.08898883809525,243.29480162371073,HAM
20,258.6742525835326,258.9425925925926,STR
21,189.21512852932224,234.29278244672315,STR
22,224.73287535167955,226.65723167739597,STR
23,279.08251414603177,264.832376018421,HAM
24,297.8940396572221,291.0882806662931,HAM
25,303.25416640000003,299.6907408592593,HAM
