Minisector,VER,MAG,Fastest
0,259.9925980052481,260.8491961888945,MAG
1,134.75549646380196,131.81380994744674,VER
2,264.36411456809213,264.57752704268813,MAG
3,306.3925345587302,304.07299976533335,VER
4,303.8758887964444,300.73009311796017,VER
5,312.03592575303577,308.24149973333334,VER
6,318.06739130434784,312.57909425178883,VER
7,318.2992452967903,313.4539932,VER
8,202.4513566701145,210.72349718518518,MAG
9,205.5089937788043,197.28307118223367,VER
10,186.56521953021704,188.9132427997386,MAG
11,168.2108853122565,162.4805367857021,VER
12,256.7351997057471,252.33631496865084,VER
13,280.46733735430996,285.84048755178964,MAG
14,282.96570465641025,283.5867723738977,MAG
15,280.7514835223635,285.2451528820513,MAG
16,186.72644853296592,187.45798790080784,MAG
17,194.02489396434677,195.42912073480764,MAG
18,243.70345626434727,239.96707589614155,VER
19,289.6060891076923,286.1976852361096,VER
20,311.42518089275364,306.19783296,VER
21,319.1300594793651,313.98265403871545,VER
22,318.7174106095238,312.4242753391304,VER
23,256.66480345440675,275.17700812255305,MAG
24,118.03915745324035,113.78766357703479,VER
25,,232.08333333333334,MAG
