Minisector,RAI,SAI,Fastest
0,299.07618435741057,317.7257647455782,SAI
1,157.1066173424036,155.76967094573644,RAI
2,157.87976104126983,160.10344959332494,SAI
3,216.13901273629216,204.69743589363873,RAI
4,283.11979202424243,284.215314604329,SAI
5,295.0141974668618,297.228976630303,SAI
6,145.7584024462385,145.99496702460945,SAI
7,139.75593539448718,137.2708785569224,RAI
8,152.28689847887946,161.82672261351695,SAI
9,169.43433603084358,156.45739363908984,RAI
10,136.06053466230648,135.28415997369893,RAI
11,129.51287494568433,131.27269798137232,SAI
12,157.79074068142353,144.36986419224806,RAI
13,263.359417248,259.00272817330455,RAI
14,289.67585195151514,283.88960442142167,RAI
15,154.17336076285142,152.08019623438008,RAI
16,213.274633947995,207.71305040732352,RAI
17,159.6191866198843,157.53104711108787,RAI
18,264.79321342721215,264.0191636632387,RAI
19,287.22492864262057,290.6365798718615,SAI
20,299.5282564882507,301.93131709494253,SAI
21,306.5339568181406,311.9107141587302,SAI
22,310.32066326349207,316.9859085340739,SAI
23,313.9,321.4489583466667,SAI
24,310.81090861026433,316.2059526095238,SAI
25,311.0,,RAI
