Minisector,HAM,BOT,Fastest
0,311.46117472499526,311.63645826666664,BOT
1,246.5178905499423,243.27978485722423,HAM
2,138.99628692426256,141.18348946158642,BOT
3,221.26588459543876,223.41246413756204,BOT
4,265.74032112147955,266.1943817139126,BOT
5,291.4477286433559,292.64808538328487,BOT
6,306.953692432017,307.71153846153845,BOT
7,290.26810876026207,293.18711544588894,BOT
8,172.39197811677494,184.67394689658002,BOT
9,242.53696326850556,245.0239048452805,BOT
10,276.4653672822204,277.1234138459953,BOT
11,275.3205220976898,271.13292836221626,HAM
12,211.88191959493471,216.4860442500322,BOT
13,135.21227446657315,135.76913579465466,BOT
14,123.77259622301351,128.01861055574614,BOT
15,167.80127360898624,173.20302021789627,BOT
16,126.25315804590618,131.05538546998554,BOT
17,234.81962690611712,235.25436605019993,BOT
18,192.07257551223805,199.75772728164145,BOT
19,160.85947241033924,172.568198467252,BOT
20,246.66228867809298,253.64307906153385,BOT
21,277.9445606719974,280.48073219165747,BOT
22,294.6777654976717,296.0602414223425,BOT
23,306.30674619725994,306.3765362730195,BOT
24,311.40034397877275,310.25694435555556,HAM
25,312.3250002285714,,HAM
