Minisector,SAI,TSU,Fastest
0,298.4514446443427,309.61305880242423,TSU
1,137.3396480878192,137.30806758787847,SAI
2,213.41987154449973,207.78654399460316,SAI
3,274.70484036548845,271.0627501057173,SAI
4,313.7349612612136,309.0691089538756,SAI
5,316.4818749061623,312.11545325519035,SAI
6,154.33493009958127,147.59420740374418,SAI
7,241.8461596442392,242.14372696696225,TSU
8,113.46732239274317,116.45047070851392,TSU
9,146.3768002855241,143.83123479551662,SAI
10,272.3902227068787,269.1832001294456,SAI
11,292.8347851954424,298.50081510260867,TSU
12,263.3036500617143,244.12746612474916,SAI
13,154.10487680447469,150.19728329875582,SAI
14,270.2149197963529,270.2787563436903,TSU
15,306.58846096739035,306.5620587332475,SAI
16,323.52203950504276,321.33363707222225,SAI
17,330.3878473777778,327.73147414864434,SAI
18,336.0678620087359,332.3854774320497,SAI
19,334.7880950857143,335.97082304265007,TSU
20,241.0841572164957,236.29070138423955,SAI
21,146.97915847610676,151.64068555067433,TSU
22,276.2911855930253,272.8743112237037,SAI
23,311.07266704,309.0229284467725,SAI
24,326.1527415664645,324.2246475531313,SAI
