Minisector,RUS,ALO,Fastest
0,251.31156693565808,250.07524804883704,RUS
1,218.2837950171051,215.79472929807292,RUS
2,203.64632802930674,205.49907538139107,ALO
3,260.1322436695162,260.3254386767148,ALO
4,272.36417376693595,274.4084656572618,ALO
5,291.5868900840671,289.9088754061396,RUS
6,151.09215821925645,156.9626235976917,ALO
7,175.74085309739124,187.47949950919073,ALO
8,269.38664577386743,268.6879016457143,RUS
9,298.70094245300214,293.785161491326,RUS
10,309.73245517493564,305.16730032100986,RUS
11,312.9662168503486,300.0834424713514,RUS
12,111.59443699429598,102.44573807076544,RUS
13,187.00857438994305,189.63285060767015,ALO
14,270.64926727392424,268.82544033104864,RUS
15,296.1614656620094,292.876411249362,RUS
16,300.76283031816575,293.4232576094063,RUS
17,183.24096546115985,183.70453304077026,ALO
18,211.84832102246585,226.1021684025343,ALO
19,263.8664231106347,269.58625251851345,ALO
20,153.8188721010518,145.39348641783005,RUS
21,138.72211358804574,143.88862398591453,ALO
22,210.83786038620667,223.55601730521397,ALO
23,227.73044330012763,219.41835095689436,RUS
24,161.22089429416553,162.37732794396143,ALO
25,222.5,,RUS
