Minisector,RAI,VET,Fastest
0,316.1536488088963,307.4738847928345,RAI
1,229.54478973333335,237.80091041320534,VET
2,133.16486501692708,144.49142817946864,VET
3,224.87019132229406,230.04720292583715,VET
4,271.35448168826525,268.18988916128774,RAI
5,297.25430536685116,289.6084272338661,RAI
6,310.4269133714286,303.24236339621694,RAI
7,292.11842706832925,289.07619386359016,RAI
8,175.05851793205477,183.53160219737336,VET
9,243.70805262003196,241.95766700150585,RAI
10,279.9550558674472,274.1775599613006,RAI
11,269.8272760839171,277.6618369901488,VET
12,211.07512750909842,219.9254866661742,VET
13,130.70656912631867,138.078896513175,VET
14,124.14011680287426,126.93873244656956,VET
15,171.6185042734039,182.96332479502573,VET
16,123.77218494098696,124.51925538617111,VET
17,235.78003489427743,231.895532939048,RAI
18,194.16122063646452,210.8879002563015,VET
19,166.15619280827372,162.1650321065855,RAI
20,251.93510989986873,245.64114899019282,RAI
21,283.92731739301246,277.11285671746674,RAI
22,301.8127035363833,293.4507880723902,RAI
23,310.27055566222225,302.54123939562885,RAI
24,313.96517233911305,307.87564883311734,RAI
25,315.8642861714286,308.66250026666665,RAI
