Minisector,NOR,OCO,Fastest
0,311.0130436173913,293.5753071803687,NOR
1,319.46187504,302.6990531393939,NOR
2,287.0947178236827,283.4038168444444,NOR
3,115.27787884772908,116.7213987385477,OCO
4,227.43536355171094,216.93036814750923,NOR
5,269.85285221587304,276.0504880141283,OCO
6,211.42129573244392,212.8577908175816,OCO
7,176.2120497009009,167.00867428738076,NOR
8,220.63822895087878,212.97029505376344,NOR
9,224.5854167822222,217.01892496134008,NOR
10,116.5419667038088,118.69803375939381,OCO
11,231.75463650333447,231.31908928735632,NOR
12,118.78566345472917,119.08985970463891,OCO
13,227.87383121088436,225.26854635086679,NOR
14,271.71527777777777,274.59620575873015,OCO
15,215.51199925284178,218.7269226150163,OCO
16,207.00192012288787,194.21869193142857,NOR
17,253.01589503209877,255.51086991462924,OCO
18,193.03347003209896,198.15047408761905,OCO
19,194.3421828133922,189.27243258340135,NOR
20,266.72942533977266,266.2108551694249,NOR
21,284.889384984127,289.6458772007387,OCO
22,166.72077444270514,169.97539686367818,OCO
23,217.68288759668047,217.36851084360995,NOR
24,271.85905801407864,273.40459852270834,OCO
25,285.2875008,285.9624992,OCO
