Minisector,ANT,BEA,Fastest
0,299.143806699581,291.1336594426272,ANT
1,148.27124537975604,147.34126403190723,ANT
2,228.75538204111615,227.3348239964322,ANT
3,276.90279498512075,280.0604650938525,BEA
4,314.19315264366753,311.4460142334199,ANT
5,311.59545664758605,308.94011914018523,ANT
6,152.4855252171709,150.65965719458728,ANT
7,258.5632730552381,255.48986474880397,ANT
8,121.09343610604827,113.75748269151211,ANT
9,160.83529882848686,164.2007877864892,BEA
10,279.4953602441742,279.23901108702137,ANT
11,301.57970643483,304.6402674789605,BEA
12,226.5909419806349,223.88113642554526,ANT
13,168.58596372931052,165.23020062139045,ANT
14,277.0345455619048,278.94093539123463,BEA
15,313.82923883204626,312.40953526591085,ANT
16,327.5201386821256,327.3733721888584,ANT
17,336.4314541385621,333.482674981189,ANT
18,338.9408729904762,337.05164508359786,ANT
19,340.11747304450216,339.52241155555555,ANT
20,194.96255759856217,199.84915771208924,BEA
21,176.43580489537817,170.14061456535046,ANT
22,280.6817143970696,281.06391403736825,BEA
23,312.7387263216213,314.111049896922,BEA
24,327.0092900281129,324.4192669577143,ANT
25,,320.0,BEA
