Minisector,SAI,PER,Fastest
0,285.56993851487533,304.4073270843296,PER
1,295.47451794952445,324.2342794855666,PER
2,299.8556573641949,334.3386044033229,PER
3,301.01200945143603,332.82603174603173,PER
4,174.07662870385076,170.6745408218761,SAI
5,203.93662969095644,200.41471329683753,SAI
6,213.79869568844558,233.0379644197095,PER
7,253.80024624083958,262.72304699753033,PER
8,268.3272842084979,267.76005683885785,SAI
9,166.75263084124808,161.46133335239952,SAI
10,230.30386459805095,227.66843357045323,SAI
11,140.39213020311092,136.7711885731218,SAI
12,217.6977665411391,214.97883823640993,SAI
13,201.10040650033255,194.76912158887185,SAI
14,209.9898924373092,207.67188500871424,SAI
15,244.11570929245943,238.6595570293689,SAI
16,254.77553546885557,249.84777562120865,SAI
17,277.98732287480334,282.00744271243434,PER
18,156.98374269788647,143.24563069571545,SAI
19,155.70240291556408,161.40276341165398,PER
20,145.34089214095218,143.2756920986209,SAI
21,172.46823337454975,157.33117352144393,SAI
22,118.38327689173502,120.38734057713,PER
23,218.59765649833594,224.86744943889133,PER
24,265.6019806140217,269.1458066567117,PER
