Minisector,LEC,VER,Fastest
0,253.53401689014925,243.40965125587303,LEC
1,127.56927779478372,139.7420807821131,VER
2,275.9934024135233,280.0404319040353,VER
3,314.95554582995413,308.2352799616349,LEC
4,298.62910882047294,287.17915930781436,LEC
5,326.63980670694366,316.6320980880808,LEC
6,339.2240548362659,321.4435557861696,LEC
7,326.59928145454546,313.4829764796537,LEC
8,204.8165964161506,197.18248280177943,LEC
9,186.97119898716684,194.46720311838698,VER
10,181.05544247349405,172.79993007654238,LEC
11,164.17399904666064,175.99228638098543,VER
12,246.47986904956446,242.41125354915062,LEC
13,264.1734807814331,258.10259449407687,LEC
14,256.86895167311826,268.1406455674917,VER
15,249.58626299681856,239.69460577066818,LEC
16,178.78534113676656,178.26935577160577,LEC
17,190.8314814706455,189.5276970618012,LEC
18,250.41434118908154,238.99526042198738,LEC
19,297.1728487692449,292.52942280328244,LEC
20,315.8025221849599,318.4548728910693,VER
21,290.6818348761921,300.7187744998001,VER
22,272.0069050660534,279.7619260545042,VER
23,236.14205271802481,203.21994892374124,LEC
24,122.59054620371754,126.5119739536195,VER
25,223.13784859944283,,LEC
