Minisector,PIA,ANT,Fastest
0,293.14651088221575,297.18727655606455,ANT
1,304.0032352685939,310.01188326015034,ANT
2,307.84989511350136,314.6631424363991,ANT
3,187.21917168241347,181.73795362380045,PIA
4,210.29955680737325,203.53305738340137,PIA
5,206.29371939309598,205.74484720027283,PIA
6,263.4265671771518,268.95614331223675,ANT
7,257.8325580939122,252.06927609600604,PIA
8,214.39116911458973,218.57325898922886,ANT
9,211.90685509977828,202.42451748937717,PIA
10,142.091069071722,140.33218140284092,PIA
11,203.67793685933808,191.3159748190806,PIA
12,197.02253884834656,189.56748618715824,PIA
13,252.75282963555557,254.9234061747152,ANT
14,182.8349826847129,170.54958165789907,PIA
15,231.93043520693567,238.03769283839713,ANT
16,281.52753779389326,283.95543672174847,ANT
17,290.1623748407326,291.9994409263158,ANT
18,284.6308645488293,281.1211909790476,PIA
19,271.053720520381,264.61568889097765,PIA
20,271.93724757735635,261.51888846762284,PIA
21,265.95093818512834,265.7611429657994,PIA
22,235.42306064375984,214.45782871205174,PIA
23,206.72607466839617,218.4973579473044,ANT
24,269.36683421164577,277.50233914401156,ANT
