Minisector,VER,TSU,Fastest
0,291.5482581220366,280.05529650086953,VER
1,314.87677596444445,296.7541331085133,VER
2,315.8849427393939,293.1275681532275,VER
3,187.49424217510239,174.31475541364853,VER
4,221.14195666772437,213.2132166702381,VER
5,211.6972399452058,198.2396535487148,VER
6,178.12842927238097,176.4724863430974,VER
7,206.5869924238832,197.66921465650796,VER
8,257.4549095821026,252.90067546920633,VER
9,270.2975783856003,257.3069437400118,VER
10,169.52043953797377,163.5937460237041,VER
11,234.93876503564485,237.35126308496484,TSU
12,125.67105923817931,110.49807409486267,VER
13,220.20778030980193,221.46470699492508,TSU
14,276.1218340774839,274.96250440362985,VER
15,293.19500112118305,290.1764165568,VER
16,212.03919818419755,204.9948179990891,VER
17,190.14199240055444,182.23984860627175,VER
18,267.27476448854594,264.7378144113834,VER
19,290.51712552571956,289.754563350809,VER
20,300.9118908011838,300.45242908257313,VER
21,301.86437249009526,300.67220621575757,VER
22,270.8582076453974,265.5642354071285,VER
23,118.13473645986744,113.06243802091424,VER
24,237.69804000592924,233.30561492888887,VER
25,,267.25449566446815,TSU
