Minisector,HAM,LEC,Fastest
0,274.5333773209529,273.63360506896333,HAM
1,299.57956079999997,299.35026004086575,HAM
2,312.267768167619,313.10221886058366,LEC
3,318.4057417804422,322.0975001884444,LEC
4,321.0956737429302,325.54702395646257,LEC
5,322.6861111365079,324.4665909697048,LEC
6,199.05725918837027,184.09583805938595,HAM
7,107.0364613600938,103.33188427531057,HAM
8,189.7773940694171,179.04728532717948,HAM
9,262.5665657050505,258.9766765792579,HAM
10,290.62218547092436,288.9026840407843,HAM
11,158.10195080360845,174.2477313006073,LEC
12,96.5904776026822,90.89879812674059,HAM
13,112.87925760912913,108.04752467226733,HAM
14,224.68295797493732,215.7959015817888,HAM
15,184.67838749634086,178.81498264431744,HAM
16,226.8809652603509,218.50290520618094,HAM
17,178.6336200902052,175.42094107133642,HAM
18,234.50101128698412,234.39678801283026,HAM
19,278.2644261928572,275.4440362066007,HAM
20,228.51865490777033,254.69724204156748,LEC
21,142.89965716563236,145.43349892765013,LEC
22,95.4100068283111,96.56312837812384,LEC
23,122.12741599450202,119.03552013120415,HAM
24,226.4950705347973,220.14640823188645,HAM
25,257.30192196923076,256.2625,HAM
