Minisector,LEC,RAI,Fastest
0,275.69574742054283,269.84850613005887,LEC
1,291.71964281904764,285.4769258789428,LEC
2,283.16954050199837,276.1442499503984,LEC
3,183.69745831501723,176.5316322234857,LEC
4,132.3636095535924,130.44654163836734,LEC
5,244.54791234126318,240.4025049145421,LEC
6,284.25273608200115,278.5520415152221,LEC
7,291.5907730458722,285.64281445535715,LEC
8,180.11602958874624,177.21974495560585,LEC
9,148.48894267179483,148.00393471511595,LEC
10,256.5864360937956,251.30023845712319,LEC
11,286.96812789016434,280.4557019700102,LEC
12,295.84568996213517,290.32746217835495,LEC
13,284.9867607535482,286.2450293705669,RAI
14,296.59184386359755,294.35373055485036,LEC
15,293.65850116955295,288.98265032315356,LEC
16,262.10332280685594,254.25163926385426,LEC
17,230.24009678451367,235.7226023162538,RAI
18,281.7393229218385,279.8911779855291,LEC
19,300.5841406029279,297.8528572342857,LEC
20,299.9663647584296,303.09484634557737,RAI
21,231.0531324627275,234.49844602978322,RAI
22,262.3698128278824,256.68240243895104,LEC
23,139.39067606047038,144.23888360990605,RAI
24,220.31854382179182,225.5062070526762,RAI
