Minisector,LEC,HAM,Fastest
0,309.1506588966396,312.3575115940741,HAM
1,198.61513151454395,192.2253825635222,LEC
2,112.04806190354908,107.9201540839137,LEC
3,193.16068855070478,194.53653941404838,HAM
4,250.788596926391,255.87076424078103,HAM
5,282.6145709950327,285.21049409930157,HAM
6,299.60979181666664,301.75347544177106,HAM
7,231.8309401790375,230.92595277015474,LEC
8,145.68223113382314,141.38523933945018,LEC
9,231.91403893890384,225.53589249026146,LEC
10,269.7983377434131,270.4089209559808,HAM
11,223.17047504747782,237.2670012157899,HAM
12,174.566462378829,174.32220537102222,LEC
13,101.83532964119755,103.63264456500724,HAM
14,107.93951120434487,104.5716091131541,LEC
15,136.88970386278717,139.17071177146448,HAM
16,116.65137393944067,110.74285377756749,LEC
17,207.86737154619354,201.83079130560827,LEC
18,146.05982184207792,145.84169929863526,LEC
19,151.07987455404486,149.71058930400838,LEC
20,242.2430242979894,242.6169380981421,HAM
21,274.0904897142857,275.8111180267668,HAM
22,292.5159168106667,297.1561027166667,HAM
23,302.15851010456566,309.329207305315,HAM
24,307.2222427764706,315.2682737904762,HAM
