Minisector,GAS,VER,Fastest
0,262.1746533361165,264.9448860888769,VER
1,134.83518092320585,151.09722924008892,VER
2,187.21899857492448,175.80674542400715,GAS
3,240.29583303111113,241.05754975398557,VER
4,260.32611911774706,261.17819833316713,VER
5,192.80033963977456,194.98540954846004,VER
6,141.43136747456995,154.4146739478261,VER
7,178.7210426303963,170.41789348556543,GAS
8,103.43042975949322,118.20669294187577,VER
9,76.51525203355534,83.3878859374121,VER
10,90.80037647267878,97.04321510611436,VER
11,164.92716891480885,143.3562825397771,GAS
12,237.20611131259258,236.76956253095125,GAS
13,262.9630977776779,264.2076923076923,VER
14,278.40316191876315,280.5080128,VER
15,126.17588927550747,173.87827228956795,VER
16,126.68734733123127,105.824375097447,GAS
17,188.58139490450156,205.34824664009437,VER
18,188.54535003571064,185.8793233082707,GAS
19,217.45173333431842,228.26098218397695,VER
20,126.99572300567652,142.09237980419996,VER
21,118.09909665265606,154.842134248663,VER
22,86.1608230564057,82.57886361322113,GAS
23,187.25467188124202,168.0383156615178,GAS
24,241.9806340307961,240.35595871540775,GAS
25,257.6374976,256.7124992,GAS
