Minisector,VER,NOR,Fastest
0,303.12003966137564,305.92914760083937,NOR
1,235.01940191281815,232.20240702939958,VER
2,134.04375647943027,130.54769835632527,VER
3,216.9146592884764,217.417833216,NOR
4,262.5338187161828,264.78578947368425,NOR
5,286.4318777989418,288.94473678596495,NOR
6,300.63898906865967,302.7046296296296,NOR
7,273.52916826666666,279.4089473684211,NOR
8,177.1596165848332,172.05801713809524,VER
9,242.38653051423915,239.4679077250479,VER
10,274.73399081704264,273.4891666666667,VER
11,265.50246881035275,263.98833333333334,VER
12,211.57788027553696,202.71043584624647,VER
13,128.98396101232447,124.80130413424037,VER
14,126.33026788952381,119.21236242837307,VER
15,168.0394560655537,165.7211094664845,VER
16,125.58959671760547,118.095126000664,VER
17,232.1775355362319,225.6635868289855,VER
18,191.39220068223787,180.23044624285237,VER
19,162.39848352323233,161.45367265595013,VER
20,247.52046249872416,248.78636363636363,NOR
21,274.07870195048326,278.40813518682944,NOR
22,287.31798214736847,294.2031862588235,NOR
23,296.53564805079367,302.8460784313725,NOR
24,301.357903458201,305.78771929824563,NOR
