Minisector,PER,OCO,Fastest
0,322.7485512347826,319.8594200115942,PER
1,332.7957520969697,330.42916673939396,PER
2,336.68856100705545,329.2113636363636,PER
3,194.08396490094933,199.13898224943637,OCO
4,115.44310148218673,115.88978066158964,OCO
5,265.8776974586886,262.37175841975306,PER
6,304.48386384926175,299.99497405577495,PER
7,320.1615896266137,315.0286232115942,PER
8,275.4667317250168,278.5316602853628,OCO
9,137.49577418244232,138.97340383657794,OCO
10,217.2739895426178,215.5992642917376,PER
11,209.7885450329181,207.08094322335552,PER
12,192.4159125542496,183.9605188785606,PER
13,268.25301576601044,263.69843638223927,PER
14,305.94317717755746,303.9381941333333,PER
15,325.98369581449276,319.81988640000003,PER
16,264.16038487477954,257.7187730316213,PER
17,191.4283987926126,198.9458986337733,OCO
18,267.9380570771329,266.32756530434835,PER
19,307.82844504463725,306.5139223579679,PER
20,325.2063404057971,322.87264486956525,PER
21,310.87467195038084,309.23279104927536,PER
22,201.86821452190475,198.2922749984974,PER
23,261.9857125447827,260.3712956839506,PER
24,304.16793437681156,301.1884196335162,PER
25,316.5916650666667,,PER
