Minisector,BOT,VER,Fastest
0,291.04073335271374,278.9673821491108,BOT
1,312.6776295564946,295.6685099804359,BOT
2,246.92995612201287,245.02848956686407,BOT
3,120.9492373519037,121.4135217182206,VER
4,141.97643268275573,136.68971348934858,BOT
5,253.28333040638162,250.56782774144835,BOT
6,247.991488049474,261.9516630259138,VER
7,131.8316258557781,129.10935983868254,BOT
8,250.5979668408264,246.07889341033786,BOT
9,265.0909189877556,264.81400072561377,BOT
10,210.845919340293,218.2115305632911,VER
11,148.5680477163646,149.09519549982548,VER
12,223.0503266839953,207.7968740055063,BOT
13,257.46620922272496,263.536441636345,VER
14,117.78948675847033,120.88383291288314,VER
15,208.34033594507272,192.91160001358693,BOT
16,264.12450176598264,256.8804029799129,BOT
17,292.5170491418456,284.5415712983787,BOT
18,307.70004137062034,294.9110266251853,BOT
19,321.7264809161082,299.75520837333335,BOT
20,330.54048910173356,302.1989584533334,BOT
21,157.51327854849427,180.43215020695396,VER
22,153.6829997155364,143.02791796916253,BOT
23,183.75862599247807,201.86518929502716,VER
24,238.52608830591683,232.82479447445152,BOT
25,275.5208373333333,265.9250016,BOT
