Minisector,LEC,NOR,Fastest
0,304.8090248999619,317.992055379317,NOR
1,138.0252620121022,145.19702057916,NOR
2,213.0371762587199,218.99191876482863,NOR
3,278.05289656261874,276.1355169834667,LEC
4,319.5583647129252,312.50978502164224,LEC
5,318.97989964083456,322.14617954041455,NOR
6,147.37749670097335,153.13460943691504,NOR
7,243.29984345212625,246.19737175415682,NOR
8,114.89789075697031,123.64892106201806,NOR
9,140.2938104309179,141.55945908594438,NOR
10,273.3514478040381,267.23221945258484,LEC
11,300.06482128979593,295.3610920542306,LEC
12,252.18025204370005,274.1850846103704,NOR
13,159.79910896146924,159.75719074426033,LEC
14,271.0959420176281,270.2746700919333,LEC
15,308.7943583631078,304.9724377885488,LEC
16,327.3464079622161,322.6064855287231,LEC
17,337.6181855552532,330.42590097246756,LEC
18,348.0544197371429,334.15063504253965,LEC
19,349.65136271879703,338.3465962233062,LEC
20,211.3717360500022,273.38845439878094,NOR
21,152.06412597270224,142.7191235869467,LEC
22,270.1147018899549,268.8160073725636,LEC
23,312.2321499830303,307.8437510837352,LEC
24,328.02972219555556,319.89982995106493,LEC
25,,320.9919641142857,NOR
