Minisector,NOR,ZHO,Fastest
0,292.72171665864107,289.94169350498277,NOR
1,304.71690417430244,300.1150445631615,NOR
2,305.9582427134499,298.50682334983804,NOR
3,189.24847954955703,182.32349070370915,NOR
4,209.18699232897802,202.29584994018063,NOR
5,203.85310341879352,201.59211931407802,NOR
6,263.21517455223494,263.97160119272337,ZHO
7,254.3537356982857,249.1968729985149,NOR
8,205.98980607778245,203.54262560425502,NOR
9,205.35594916040435,204.34225024889565,NOR
10,145.15102444843538,144.49880918808992,NOR
11,198.19108567783053,208.44557605282293,ZHO
12,181.40592821824066,174.38814759073026,NOR
13,246.986214230303,239.70576585674772,NOR
14,175.22948646651923,175.69327357172722,ZHO
15,238.04087352002952,232.6482972991453,NOR
16,275.58067192066113,274.0092718772726,NOR
17,279.0832797931429,275.31754077229436,NOR
18,272.7965607611561,264.3576442380693,NOR
19,260.3255424360173,249.6727951941818,NOR
20,261.9654312765318,252.5351105307956,NOR
21,262.51228870960114,254.57942877878867,NOR
22,221.13862761830674,224.62001317882041,ZHO
23,203.05588855057192,191.7631442140156,NOR
24,269.40133269895784,265.66240019331974,NOR
25,284.37142857142857,281.66964114285713,NOR
