Minisector,ALB,RUS,Fastest
0,298.6384059670588,290.06673802423495,ALB
1,318.00731456256904,302.14850450486983,ALB
2,326.9717612504202,309.67848058612793,ALB
3,328.5940971555556,308.01317141421345,ALB
4,191.91028680360043,189.38926089116157,ALB
5,229.05991680084657,222.95415666296253,ALB
6,266.7808885827176,269.61781620451126,RUS
7,264.5681893925926,258.7135641324899,ALB
8,199.22412070623236,193.27425363621887,ALB
9,139.72980543851853,140.90703233262977,RUS
10,177.89703632006325,182.7507565143209,RUS
11,263.3532706380045,263.06102940082053,ALB
12,246.92431357930982,243.74218092066158,ALB
13,233.6908862153846,226.55684637866668,ALB
14,269.4743471288496,273.0238004730545,RUS
15,171.72233279396826,166.68104264349208,ALB
16,232.47200086262626,219.82774966439698,ALB
17,244.13475093564213,240.5182410502095,ALB
18,135.07901669187083,132.09476141152396,ALB
19,241.80934399492062,244.96801034387244,RUS
20,283.19943628196984,286.0009146883919,RUS
21,246.20683483826087,249.56500928831167,RUS
22,142.91848014307303,141.62800572983318,ALB
23,218.34326516114285,218.98834732082972,RUS
24,272.04088835969134,274.38473094562903,RUS
25,284.0071424,,ALB
