Minisector,RUS,TSU,Fastest
0,287.78633007414646,291.93988909259815,TSU
1,297.88356554308126,301.8946348552109,TSU
2,270.64293791492065,280.67648032484846,TSU
3,108.9730352518624,107.71407018849969,RUS
4,217.1561518880465,214.8843860393211,RUS
5,268.58119417918675,277.03810639294164,TSU
6,211.0730583780642,209.12323734693078,RUS
7,159.25679642763427,152.60973843047617,RUS
8,216.98895831752776,203.9958087036206,RUS
9,219.8042824521368,215.06275004470095,RUS
10,111.77861468290442,111.7917463108583,TSU
11,224.62309989812778,223.94179959219954,RUS
12,111.32352613092834,112.08844113751505,TSU
13,214.7432339635108,218.30339339060941,TSU
14,273.4428390387686,285.7759345632653,TSU
15,215.01329622839003,215.926900812786,TSU
16,195.63637471511692,180.469346583269,RUS
17,248.54767187936508,243.462451882106,RUS
18,199.85630137874497,198.0279452451371,RUS
19,178.62921657482764,167.0425451599388,RUS
20,258.7858097156514,261.922108759798,TSU
21,285.7337686067019,288.108494660659,TSU
22,171.09029766069472,167.659550423106,RUS
23,212.7017653079365,203.54455601143783,RUS
24,268.7730121191526,272.81528521336065,TSU
25,281.0,290.2204549818182,TSU
