Minisector,ALO,ZHO,Fastest
0,291.9605502650044,289.94169350498277,ALO
1,304.7357984355556,300.1150445631615,ALO
2,308.345553210084,298.50682334983804,ALO
3,182.79604762408238,182.32349070370915,ALO
4,206.49550046400873,202.29584994018063,ALO
5,198.4385023941243,201.59211931407802,ZHO
6,264.6043624579827,263.97160119272337,ALO
7,255.33211558640411,249.1968729985149,ALO
8,200.01981007744757,203.54262560425502,ZHO
9,207.56896488230225,204.34225024889565,ALO
10,137.1994820853047,144.49880918808992,ZHO
11,208.77479799522715,208.44557605282293,ALO
12,171.40626991737219,174.38814759073026,ZHO
13,246.21234434142167,239.70576585674772,ALO
14,172.10420075549914,175.35588911250366,ZHO
15,235.62753041151805,229.89883126153848,ALO
16,275.88684070748303,273.4001730999999,ALO
17,272.73733773298704,275.31754077229436,ZHO
18,263.406198002963,264.3576442380693,ZHO
19,246.22192939835517,249.6727951941818,ZHO
20,256.8149807056693,252.5351105307956,ALO
21,255.83857839307538,254.57942877878867,ALO
22,219.5513783336603,224.62001317882041,ZHO
23,192.43776091578619,191.7631442140156,ALO
24,270.50964763229814,264.8551580982313,ALO
25,,281.44642742857144,ZHO
