Minisector,NOR,LEC,Fastest
0,297.4625464368886,293.97300151466675,NOR
1,316.8531128747795,304.5235118899471,NOR
2,325.4703776333333,309.29059748289245,NOR
3,311.62314285714285,308.8810382747942,NOR
4,170.22461084643479,167.06415892978822,NOR
5,206.43161630036633,207.42512944963818,LEC
6,232.3672875202552,234.2601463709091,LEC
7,266.4770733662888,267.2745168002457,LEC
8,247.58835978835975,241.7249480493582,NOR
9,162.75756687426062,156.4638931921181,NOR
10,222.13330898992407,223.506949543416,LEC
11,126.81562304393911,128.02585427345625,LEC
12,228.7815855477809,227.4945454523356,NOR
13,177.4415008332787,183.78119974748344,LEC
14,216.41140668666665,208.540223547046,NOR
15,241.20802182121523,240.22205146473613,NOR
16,264.0077161323457,264.07374550181817,LEC
17,283.6773851229893,289.42433022380953,LEC
18,155.46768970124083,150.3172752415154,NOR
19,160.24322817792626,162.48849662752207,LEC
20,142.61392596996134,139.58258813767114,NOR
21,229.91800615238094,226.78482815306424,NOR
22,262.6533062817391,263.0767046206784,LEC
23,252.9437415288787,247.44620536034634,NOR
24,274.6359188644156,274.87380866528065,LEC
25,283.6477277090909,,NOR
