Minisector,HUL,MAG,Fastest
0,302.70646268084056,314.5837963407407,MAG
1,210.02288482742858,201.51222668031383,HUL
2,232.14329946984626,226.03264640266832,HUL
3,277.6938724005037,282.5409007554411,MAG
4,241.95144930771525,254.00040584415584,MAG
5,124.09408108955108,123.96935417714572,HUL
6,213.2977288155111,211.09075755840047,HUL
7,260.7873172403743,265.24,MAG
8,253.367295363826,246.7582968290909,HUL
9,236.19571158603173,237.15629831127094,MAG
10,279.22951920728457,279.47208507024914,MAG
11,299.0533918236883,301.3362239419501,MAG
12,309.8495472422804,319.22008145363407,MAG
13,313.5455101910204,329.6339764477075,MAG
14,313.20320299744105,335.22717975906875,MAG
15,252.94018758523,259.798123500473,MAG
16,242.87497368288598,238.53649079115948,HUL
17,282.90866446064615,283.97879818594106,MAG
18,296.71337508799996,302.42907299262515,MAG
19,155.7188574516236,157.6377085784452,MAG
20,208.66942478712645,207.75687343568848,HUL
21,182.55616071365722,174.11009575022868,HUL
22,141.27068623258145,135.66965036534216,HUL
23,240.53967859456176,241.91324790949406,MAG
24,284.8631022300825,284.3240490923738,HUL
