Minisector,LEC,OCO,Fastest
0,231.10433996645295,230.10547792038759,LEC
1,281.25424764100933,288.00334437732425,OCO
2,294.75971312638086,304.55912685714287,OCO
3,299.70416659393936,310.8763813085826,OCO
4,265.63970073827664,275.1916695111111,OCO
5,168.69417989153183,168.95587219905553,OCO
6,260.46866611559153,264.0620893218775,OCO
7,281.0001983105064,284.1866071203463,OCO
8,214.4655406692983,206.1999592415361,LEC
9,216.14445702030395,222.2059939755102,OCO
10,183.664006126976,178.77513312651072,LEC
11,224.7293199633157,226.02420504126985,OCO
12,201.66261201043812,198.238656632973,LEC
13,214.1845753444992,210.46360455805578,LEC
14,217.60513045123153,220.54755464144444,OCO
15,181.19646951296977,175.93051535472134,LEC
16,248.6180541777778,250.3278154717973,OCO
17,288.9577309533264,297.19243431025825,OCO
18,304.429223169161,314.9842520621554,OCO
19,290.3466289460462,301.2899917836565,OCO
20,129.18805293997463,125.95087335702742,LEC
21,164.934710365449,156.7555578041584,LEC
22,151.00648639543513,152.00239946547399,OCO
23,202.68883057268047,199.88652598754803,LEC
24,143.72218977452937,141.99976040098755,LEC
25,179.65,,LEC
