Minisector,RUS,VER,Fastest
0,293.0363146577778,294.3814178556759,VER
1,182.7785170512221,160.83786491787345,RUS
2,177.6093071883824,181.54560803459327,VER
3,254.40618434650213,252.97244815867066,RUS
4,284.39000699118924,284.0221706764289,RUS
5,244.81838810408806,260.7285118114286,VER
6,229.50289136326532,227.79366813972015,RUS
7,159.27521939741678,150.64633490114625,RUS
8,224.12594705306043,226.23465166230488,VER
9,277.29444321622157,280.4011050408081,VER
10,300.2754666061327,300.5339889625197,VER
11,309.85893294623224,311.01986949010103,VER
12,313.95170949294857,315.76422217394366,VER
13,310.7742843326984,315.55220291127824,VER
14,129.27631042951953,127.3044747609721,RUS
15,120.24453821898395,120.86776334755659,VER
16,101.0863192380507,108.90518778003312,VER
17,230.89739143981137,234.0221243990925,VER
18,283.15298736040097,283.22120336922154,VER
19,303.4184799684177,303.65332514938774,VER
20,313.03878183683213,314.2396646464647,VER
21,314.7536039893333,315.10367036570926,VER
22,135.09760995259384,124.11065984806805,RUS
23,203.984992840946,211.63244535365484,VER
24,269.6440242982313,272.462559088438,VER
