Minisector,ANT,GAS,Fastest
0,273.63157894736844,271.2065754764237,ANT
1,125.15070808820809,115.50759569538658,ANT
2,163.55902871075284,163.81471088435373,GAS
3,206.5597866419295,192.31853847107098,ANT
4,174.28955314009661,167.6999542124542,ANT
5,238.5459001782531,238.98474354394344,GAS
6,208.619099378882,173.58716263160707,ANT
7,138.20876176510467,142.5932090009167,GAS
8,248.21969507101088,242.53982683982684,ANT
9,285.17712053571427,286.58220490555556,GAS
10,282.8267448849713,257.58889275186147,ANT
11,157.96724644403216,146.32489876913084,ANT
12,225.86421141134002,238.87312288617102,GAS
13,279.1001400560224,282.1269557823129,GAS
14,258.32450980392156,215.25375246835313,ANT
15,104.61468896156924,105.64722008648057,GAS
16,236.26248487102194,240.00101872987656,GAS
17,295.91898577612864,300.22523809523807,GAS
18,313.7619658119658,318.80376855268423,GAS
19,322.8232353338562,326.7228572266667,GAS
20,325.64930555555554,326.135,GAS
21,297.09236633249793,196.46279548995528,ANT
22,159.61681983427872,163.5961941148573,GAS
23,244.00773809523812,254.30641119671452,GAS
24,283.2798941798942,287.8256245181497,GAS
