Minisector,SAI,KVY,Fastest
0,296.4718882753102,311.47388949333333,KVY
1,304.62648807619047,325.8792291185298,KVY
2,307.03216811505195,334.7996795897436,KVY
3,295.5224356923077,334.578621031746,KVY
4,194.85419939712583,187.84008581035195,SAI
5,96.97002581296977,95.44671467591826,SAI
6,206.7396835555556,202.73086879235734,SAI
7,258.04737724615103,261.2803601793876,KVY
8,280.559896,295.4538892088889,KVY
9,281.2461095822222,298.54813227933914,KVY
10,144.52447994774485,143.2762911693796,SAI
11,177.13073116829145,170.40983505066666,SAI
12,241.1513893925926,239.43948654318925,SAI
13,241.67198959576723,235.03516011265552,SAI
14,148.06138783821578,144.24267021654663,SAI
15,209.93412091578483,211.32162437819838,KVY
16,259.9028214088979,261.59877477647063,KVY
17,281.0811757809524,285.0510999661129,KVY
18,292.80972236190473,295.6818454095238,KVY
19,299.51095314595295,300.50236816330727,KVY
20,291.67741931960205,280.0156016471655,SAI
21,150.28190414979525,145.8760230697897,SAI
22,208.57523934476188,208.04655792332883,SAI
23,258.0577723982575,262.62172365395094,KVY
24,282.39680091428573,292.9711118222222,KVY
