Minisector,ALO,HAM,Fastest
0,293.28112101847876,312.8165698499002,HAM
1,300.60122820661246,322.0907417459341,HAM
2,222.57678789262545,243.11982094857143,HAM
3,139.67561532993062,137.25890970429572,ALO
4,223.15230696543304,221.09815055671928,ALO
5,166.70418689751122,164.20517033617696,ALO
6,178.27218401215654,168.2392935997264,ALO
7,252.7315013309102,247.24320243344155,ALO
8,279.2625189211808,278.52761573333333,ALO
9,286.82427200454543,286.6774154318437,ALO
10,256.5960408410831,262.9188027936508,HAM
11,243.8945308781395,232.08630503099567,ALO
12,245.18515258794187,236.9416715433995,ALO
13,215.99040739961907,204.7928644825397,ALO
14,132.8656605753921,129.84267636680406,ALO
15,142.64717152172926,138.32722979092438,ALO
16,185.18875001904763,177.86263537011786,ALO
17,246.76723414518517,248.74741233966876,HAM
18,258.3002535755389,232.9087933560537,ALO
19,118.69343650026232,114.2558003660096,ALO
20,193.4277679388543,203.03032813317125,HAM
21,201.51540130993232,197.95949592355606,ALO
22,227.57176012334935,237.64597657734117,HAM
23,261.6938905722488,271.66567821774044,HAM
24,277.9268785280548,295.53225014054414,HAM
25,288.72618971428574,,ALO
