Minisector,VET,RAI,Fastest
0,288.9560128389312,313.2779582037149,RAI
1,195.31111041645403,189.44642254180002,VET
2,226.29759110575327,222.98079035297556,VET
3,270.5656829678134,280.8144388441911,RAI
4,239.26593070292478,233.52198931303104,VET
5,128.04067947484833,120.87703104653475,VET
6,212.72134436153647,206.72074937836533,VET
7,257.1820789377453,256.6909029101693,VET
8,200.8530144789835,201.43486076893367,RAI
9,205.5072982927861,207.14241980631306,RAI
10,262.09777634888826,267.87696608994054,RAI
11,208.28335376976048,195.53624388633625,VET
12,177.57257180786962,176.68612023906678,VET
13,258.01124815920684,262.48202396982964,RAI
14,280.3606951673824,287.0411082051602,RAI
15,256.41401444848486,258.9718748616467,RAI
16,236.81150490728706,244.0653468563605,RAI
17,272.0672619459619,283.38736008667286,RAI
18,285.47918932048896,303.12998772426386,RAI
19,176.7846103567655,161.20726756846858,VET
20,207.9322329052956,198.46988082299723,VET
21,170.01089923896782,160.22451330631384,VET
22,140.8678400438401,142.07783613754123,RAI
23,238.16765482533688,243.67655412830837,RAI
24,276.67542165669676,292.74902936384467,RAI
