Minisector,RUS,STR,Fastest
0,251.31156693565808,248.2702349975593,RUS
1,218.2837950171051,212.36183687958976,RUS
2,203.64632802930674,209.89807395685784,STR
3,260.1322436695162,258.10324865811714,RUS
4,272.36417376693595,271.6930417941043,RUS
5,291.5868900840671,288.3967467344855,RUS
6,151.09215821925645,170.52284074110335,STR
7,175.74085309739124,167.2583709951626,RUS
8,269.38664577386743,268.6583037038326,RUS
9,298.70094245300214,305.10421008504204,STR
10,309.73245517493564,323.268423266123,STR
11,312.9662168503486,322.3058394872148,STR
12,111.59443699429598,113.66860345118683,STR
13,187.00857438994305,190.37101766314854,STR
14,270.64926727392424,277.89519434291066,STR
15,296.1614656620094,313.22197249859846,STR
16,300.76283031816575,316.5164842954166,STR
17,183.24096546115985,187.50869053381567,STR
18,211.84832102246585,222.44518556540828,STR
19,263.8664231106347,262.9788006423428,RUS
20,153.8188721010518,147.350523165221,RUS
21,138.72211358804574,141.17739560548605,STR
22,210.83786038620667,214.20138838553825,STR
23,227.73044330012763,227.95495513570205,STR
24,161.22089429416553,157.22443148502063,RUS
25,222.5,,RUS
