Minisector,ALO,HAM,Fastest
0,300.34304649059743,290.00550061783485,ALO
1,162.03256407871646,152.37437759465774,ALO
2,158.93228480597426,150.50820898879468,ALO
3,230.2731472807619,226.9138328931463,ALO
4,288.7002320267054,292.1574524542857,HAM
5,291.3940707790174,304.1217267809524,HAM
6,144.63442352511518,154.11035296881772,HAM
7,147.0184772564519,139.99730224461814,ALO
8,135.68045711978763,143.5059914407409,HAM
9,186.85174400846668,176.9666779495349,ALO
10,124.44272902090515,135.18411442615837,HAM
11,125.9412727242465,126.54545991524219,HAM
12,174.4695499275759,152.25312606776006,ALO
13,268.6046760808103,264.5568208965581,ALO
14,294.65746034427934,293.50860130042514,ALO
15,150.39341819469888,155.9106964840404,HAM
16,222.0984896196808,213.3334396339779,ALO
17,184.2733372106578,162.15159336161622,ALO
18,274.05283111253425,266.83895284696104,ALO
19,298.6473530729412,296.4187377694851,ALO
20,312.30968167183676,309.3082460561144,ALO
21,321.512156227391,317.6103757908497,ALO
22,326.0190478019048,322.19666677333333,ALO
23,328.88120304601506,325.28697928533336,ALO
24,329.3965311020096,323.77200351169313,ALO
25,,318.08703691851855,HAM
