Minisector,LEC,RAI,Fastest
0,281.37376995473545,277.6864584789372,LEC
1,297.04058460383453,296.33082921862217,LEC
2,240.6951763883248,227.81662167812377,LEC
3,119.20917846006479,118.80436220597434,LEC
4,145.6530679963251,138.72381235513217,LEC
5,255.773191670351,247.68755922881107,LEC
6,258.0596707438779,256.2889235520422,LEC
7,129.291495097826,125.42959751354039,LEC
8,252.24448288306294,243.4083654057979,LEC
9,266.09307051178615,250.03490140507404,LEC
10,214.92900187995198,207.74567205527393,LEC
11,152.9692751390199,143.70852026036968,LEC
12,219.02708770251138,203.9519756208872,LEC
13,266.88220908782756,258.0995486033779,LEC
14,118.02971168622072,115.79931580834172,LEC
15,202.53476366945776,188.03567414361382,LEC
16,261.7595844026045,253.55095406913202,LEC
17,288.1712460331729,283.26694851200523,LEC
18,297.4007942164122,295.66031071730276,LEC
19,301.6849206857143,303.16866193541154,RAI
20,304.5217105403509,305.38730780172403,RAI
21,156.61203790112785,175.15133908866392,RAI
22,158.02464938128415,145.77283140836477,LEC
23,194.67135450399707,192.8187288478144,LEC
24,241.80340343398007,226.91456988711386,LEC
25,,261.0624992,RAI
