Minisector,RUS,ALO,Fastest
0,275.80130517238564,275.11970053352775,RUS
1,299.7228269073302,301.5471145950126,ALO
2,298.02484026177444,299.37941689096596,ALO
3,174.47677096527585,164.44214253842864,RUS
4,117.24324141092235,119.31534754676463,ALO
5,232.862470593204,235.08579786757372,ALO
6,291.3266953875441,291.6147455412917,ALO
7,310.4321728200867,309.6134938324362,RUS
8,173.06411174276968,161.0770839893206,RUS
9,136.12902455238952,139.39971290679088,ALO
10,247.71966454970018,252.567589331928,ALO
11,289.5451546331653,291.1528098402828,ALO
12,303.50462308622224,303.23706510162856,RUS
13,281.7539099540072,287.08007527239346,ALO
14,298.4671053152882,300.11921351594856,ALO
15,299.00580799353537,301.4696591224845,ALO
16,249.80988220181717,248.99733966911336,RUS
17,226.16972245772075,227.3292461020277,ALO
18,281.70112498649934,285.0399186740461,ALO
19,313.30346329212125,311.9088652063492,RUS
20,320.88692719914724,312.0973648457143,RUS
21,220.07810825536944,215.35239872237037,RUS
22,252.983890507475,258.2928056588642,ALO
23,130.80740097106155,129.13168557898086,RUS
24,204.79574384927244,210.6253763008113,ALO
25,256.48125120000003,,RUS
