Minisector,HAM,ALO,Fastest
0,309.8707383216562,314.99237633949963,ALO
1,316.21469299649124,321.7985291921569,ALO
2,311.2701392,319.5943123386244,ALO
3,231.7503755125596,232.5354461591084,ALO
4,222.91430959706958,232.69626212571427,ALO
5,118.62423670695226,114.76774099965452,HAM
6,214.71865668793708,214.36000916095247,HAM
7,268.002650569697,266.83406740194744,HAM
8,233.63267165866665,233.455336192,HAM
9,118.4729541407897,114.6807611022038,HAM
10,234.40859908944188,232.73698413244932,HAM
11,244.67699357681158,256.4068844521739,ALO
12,139.7075654950058,136.17597224379523,HAM
13,210.20954257495592,217.54159615531137,ALO
14,268.0868926926077,271.7113914054909,ALO
15,229.36512722962962,219.2264905084249,HAM
16,157.04175788444445,162.16735717889318,ALO
17,238.38699925333333,245.39275297391305,ALO
18,125.74903215591162,122.02833700617663,HAM
19,148.1324012550392,142.19369272296848,HAM
20,190.4363859657143,190.3951131954023,HAM
21,261.1419849956693,259.70988534989647,HAM
22,278.2791663746032,276.5440474412698,HAM
23,285.26150764263036,283.47321401904765,HAM
24,290.79344053864634,293.81381555660295,ALO
25,293.0,,HAM
